"OBJECTID.x","GEOID","NAME","Total Population","Aggregate Income","Per Capita Income","ACS_VINTAGE","JURISDICTION","CRA_NO","CRA_GRP","GEN_ALIAS","DETL_NAMES","TRACT_LABEL","OBJECTID_12_13_14_15_16","OBJECTID.y","TRACT","TRACTCE10","NAME10","NAMELSAD10","ACRES_TOTA","WATER","SHAPE_Leng","TC_ID","OBJECTID_1","TRACT_1","TRACTCE10_1","GEOID10_1","NAME10_1","NAMELSAD10_1","ACRES_TOTAL","PCT_PEOPLE_OF_COLOR","PTL_PEOPLE_OF_COLOR","PCT_ENGLISH_LESSTHAN_VERY_WELL","PTL_ENGLISH_LESSTHAN_VERY_WELL","PCT_FOREIGN_BORN","PTL_FOREIGN_BORN","PCT_POP_INC_UNDER_200_POVERTY","PTL_POP_INC_UNDER_200_POVERTY","PCT_LESS_BACHELOR_DEGREE","PTL_LESS_BACHELOR_DEGREE","PCT_ADULTNOLEISUREPHYSACTIVITY","PCT_ADULT_WITH_DIABETES","PCT_ADULT_OBESE","PCT_ADULTMENTALHEALTHNOTGOOD","PCT_ADULT_WITH_ASTHMA","PCT_ADULT_WITH_DISABILITIES","PCT_LOW_LIFE_EXPECT_AT_BIRTH","PTL_ADULTNOLEISUREPHYSACTIVITY","PTL_ADULT_DIAGNOSED_DIABETES","PTL_ADULT_OBESE","PTL_ADULTMENTALHEALTHNOTGOOD","PTL_ADULT_WITH_ASTHMA","PTL_ADULT_WITH_DISABILITIES","PTL_LOW_LIFE_EXPECT_AT_BIRTH","COMPOSITE_PERCENTILE","COMPOSITE_QUINTILE","RACE_ELL_ORIGINS_PERCENTILE","RACE_ELL_ORIGINS_QUINTILE","SOCIOECONOMIC_PERCENTILE","SOCIOECONOMIC_QUINTILE","HEALTH_PERCENTILE","HEALTH_QUINTILE","RSE_Priority_Rank","OBJECTID_12","TC_ID_1","Total_A","Can_A","Grass_A","Soil_A","Water_A","Build_A","Road_A","Paved_A","Perv_A","Imperv_A","Can_P","Grass_P","Soil_P","Water_P","Build_P","Road_P","Paved_P","Perv_P","Imperv_P","TC_E_A","TC_Pv_A","TC_Land_A","TC_Pi_A","TC_P_A","TC_E_P","TC_Pv_P","TC_P_P","TC_Pi_P","TC_Land_A_1","Gain","Loss","No_Change","TreeCanopy_2016_Area","TreeCanopy_2021_Area","Change_Area","Change_PercentChange","TreeCanopy_2016_Percent","TreeCanopy_2021_Percent","Change_Percent_AbsDiff","OBJECTID_12_13","OBJECTID_12_13_14","TC_ID_12","OBJECTID_12_13_14_15","TC_ID_12_13","Shape__Area","Shape__Length","maj_TC","Imperv_TC_Diff"
11,53033000602,"Census Tract 6.02, King County, Washington",3883,163401700,42081,"5Y20","Seattle",9.5,9,"Haller Lake","Haller Lake, Pinehurst",6.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,53033000700,"Census Tract 7, King County, Washington",5529,232168400,41991,"5Y20","Seattle",8.2,8,"Olympic Hills/Victory Heights","Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",7,39,79,700,700,7,"Census Tract 7",319.89860374,0,16213.540329214,79,23,NA,NA,NA,NA,NA,319.89860374,0.42592991,0.73,0.13801843,0.79,0.25284885,0.767,0.30562137,0.692,0.53013154,0.76,0.154,0.067,0.236,0.106,0.091,0.10678098,0.8395,0.699,0.571,0.759,0.691,0.669,0.556,0.376,0.745,"Second highest",0.76,"Second highest",0.745,"Second highest",0.67,"Second highest",4,NA,NA,13934800,4642871,4494630,0,0,2528998,1464021,804280,9137501,4797299,33.3185334558085,32.2547148147085,0,0,18.1487929500244,10.5062218331085,5.77173694635014,65.573248270517,34.426751729483,4642871,4494630,13934800,804280,5298910,33.3185334558085,32.2547148147085,38.0264517610586,5.77173694635014,NA,429480,551558,4213391,4764949,4642871,-122078,-2.56200013893118,34.1945991331056,33.3185334558085,-0.876065677297127,NA,NA,NA,NA,NA,13934781.0831299,16213.539655057,FALSE,-1.1082182736745
13,53033000800,"Census Tract 8, King County, Washington",2849,158820300,55746,"5Y20","Seattle",8.3,8,"Cedar Park/Meadowbrook","Cedar Park, Lake City, Meadowbrook, Matthews Beach",8,37,77,800,800,8,"Census Tract 8",282.07307061,0,15396.722147055,77,124,NA,NA,NA,NA,NA,282.07307061,0.16006467,0.151,0.01921435,0.226,0.07073565,0.083,0.11742739,0.143,0.38551651,0.542,0.133,0.069,0.215,0.089,0.086,0.07231405,0.8114,0.511,0.609,0.398,0.353,0.345,0.225,0.647,0.324,"Second lowest",0.128,"Lowest",0.346,"Second lowest",0.467,"Middle",2,NA,NA,12287096,5104725,4146964,26422,96715,1853257,893087,165926,9374826,2912270,41.545414799396,33.7505623786125,0.215038606355806,0.787126591995375,15.082953693859,7.26849533852425,1.35040859125704,76.2981423763597,23.7018576236403,5104725,4146964,12190381,192348,4339312,41.8750242506776,34.0183296978167,35.5961967062391,1.57786700842246,NA,485059,554435,4619666,5174101,5104725,-69376,-1.34083196288592,42.444128694583,41.8750242506776,-0.569104443905402,NA,NA,NA,NA,NA,12287101.9970093,15396.7211640586,FALSE,18.1731666270373
14,53033000900,"Census Tract 9, King County, Washington",2203,161398200,73263,"5Y20","Seattle",8.3,8,"Cedar Park/Meadowbrook","Cedar Park, Lake City, Meadowbrook, Matthews Beach",9,32,72,900,900,9,"Census Tract 9",234.72353208,0,21457.1378410922,72,56,NA,NA,NA,NA,NA,234.72353208,0.22654964,0.354,0.03758542,0.422,0.1278113,0.429,0.08522413,0.068,0.24914676,0.173,0.123,0.074,0.208,0.079,0.083,0.07677165,0.8558,0.368,0.684,0.255,0.06,0.082,0.263,0.188,0.173,"Lowest",0.407,"Middle",0.076,"Lowest",0.196,"Second lowest",1,NA,NA,10224606,4068237,3418620,55187,40294,1742960,611680,287628,7582338,2642268,39.78869210217,33.4352247900799,0.53974695944274,0.394088535049664,17.0467204310856,5.98243101005555,2.81309617211656,74.1577523867423,25.8422476132577,4068237,3418620,10184312,342815,3761435,39.946115162222,33.5675105004638,36.9336190800125,3.36610857954862,NA,398018,421263,3670219,4091482,4068237,-23245,-0.568131547444178,40.1743583660831,39.946115162222,-0.228243203861005,NA,NA,NA,NA,NA,10224556.151825,21457.1364333089,FALSE,14.1038675489643
15,53033001000,"Census Tract 10, King County, Washington",2037,86613300,42520,"5Y20","Seattle",8.3,8,"Cedar Park/Meadowbrook","Cedar Park, Lake City, Meadowbrook, Matthews Beach",10,35,75,1000,1000,10,"Census Tract 10",235.83566539,0,13304.7244257489,75,123,NA,NA,NA,NA,NA,235.83566539,0.36788618,0.647,0.10197368,0.7,0.20071138,0.677,0.33485772,0.722,0.37056604,0.512,0.161,0.078,0.25,0.11,0.094,0.09517335,0.831,0.729,0.759,0.834,0.736,0.766,0.443,0.497,0.692,"Second highest",0.662,"Second highest",0.64,"Second highest",0.737,"Second highest",4,NA,NA,10272994,3571139,4007612,169634,0,1610301,737901,176407,7748385,2524609,34.7623974081947,39.0111393036928,1.65126155043019,0,15.6750894627214,7.18292057797367,1.71719169698727,75.4247982623177,24.5752017376823,3571139,4007612,10272994,346041,4353653,34.7623974081947,39.0111393036928,42.3795925511102,3.36845324741745,NA,343892,367908,3227247,3595155,3571139,-24016,-0.668010141426448,34.9961754090385,34.7623974081947,-0.233778000843763,NA,NA,NA,NA,NA,10273000.2481689,13304.723749005,FALSE,10.1871956705124
16,53033001100,"Census Tract 11, King County, Washington",2713,141033400,51984,"5Y20","Seattle",8.2,8,"Olympic Hills/Victory Heights","Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",11,34,74,1100,1100,11,"Census Tract 11",262.01774748,0,14316.8853745215,74,40,NA,NA,NA,NA,NA,262.01774748,0.31623305,0.594,0.09733124,0.692,0.17295713,0.602,0.1451081,0.316,0.3870156,0.549,0.135,0.065,0.221,0.093,0.085,0.07419065,0.8091,0.526,0.526,0.533,0.473,0.24,0.24,0.677,0.549,"Middle",0.64,"Second highest",0.467,"Middle",0.504,"Middle",3,NA,NA,11413484,5052884,3511805,7388,0,1654450,957260,229697,8572077,2841407,44.271179597746,30.7689133309338,0.0647304539087276,0,14.495573831794,8.38709722640344,2.012505559214,75.1048233825885,24.8951766174115,5052884,3511805,11413484,237085,3748890,44.271179597746,30.7689133309338,32.8461493440566,2.07723601312272,NA,433788,505231,4619096,5124327,5052884,-71443,-1.39419283742041,44.8971321990726,44.271179597746,-0.625952601326638,NA,NA,NA,NA,NA,11413492.8712463,14316.8847136625,FALSE,19.3760029803345
17,53033001201,"Census Tract 12.01, King County, Washington",4135,129033200,31205,"5Y20","Seattle",8.1,8,"Northgate/Maple Leaf","Maple Leaf, Northgate, Pinehurst",12.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,53033001202,"Census Tract 12.02, King County, Washington",3111,126609500,40697,"5Y20","Seattle",8.1,8,"Northgate/Maple Leaf","Maple Leaf, Northgate, Pinehurst",12.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,53033001300,"Census Tract 13, King County, Washington",4998,225601500,45138,"5Y20","Seattle",9.2,9,"Licton Springs","Licton Springs",13,33,73,1300,1300,13,"Census Tract 13",292.55118422,0,15034.4701421118,73,4,NA,NA,NA,NA,NA,292.55118422,0.40545496,0.692,0.12756705,0.767,0.23149209,0.73,0.21842769,0.549,0.46841339,0.692,0.144,0.058,0.223,0.103,0.089,0.15250199,0.7929,0.639,0.398,0.586,0.624,0.593,0.842,0.828,0.73,"Second highest",0.73,"Second highest",0.647,"Second highest",0.707,"Second highest",4,NA,NA,12743527,3110414,3585307,8221,3385,2775140,1679260,1581800,6707327,6036200,24.4077954242966,28.1343383193679,0.0645111828146164,0.026562505027062,21.7768597343577,13.1773566297619,12.4125762043742,52.6332074315062,47.3667925684938,3110414,3585307,12740142,1590021,5175328,24.4142804687734,28.1418134899909,40.6222159847198,12.4804024947289,NA,360712,418298,2749702,3168000,3110414,-57586,-1.8177398989899,24.8662848498863,24.4142804687734,-0.452004381112864,NA,NA,NA,NA,NA,12743528.0027161,15034.4691396732,FALSE,-22.9525120997204
20,53033001400,"Census Tract 14, King County, Washington",5517,332341400,60240,"5Y20","Seattle",10.1,10,"North Beach/Blue Ridge","Crown Hill, North Beach, Blue Ridge",14,57,99,1400,1400,14,"Census Tract 14",525.96403385,0,30486.9573155023,99,61,NA,NA,NA,NA,NA,525.96403385,0.23671752,0.384,0.04149456,0.482,0.15798702,0.564,0.20638261,0.497,0.47906977,0.7,0.142,0.063,0.233,0.103,0.091,0.11762181,0.7973,0.601,0.496,0.714,0.624,0.669,0.691,0.797,0.61,"Second highest",0.474,"Middle",0.602,"Second highest",0.715,"Second highest",4,NA,NA,22911008,9341406,6545810,210469,1936,3390013,1888808,1532566,16099621,6811387,40.7725666195045,28.5705892992574,0.918637015010426,0.00845008652609261,14.796437590175,8.24410693759087,6.68921245193577,70.2702430202984,29.7297569797016,9341406,6545810,22909072,1743035,8288845,40.7760122278196,28.5730037427967,36.1814961339333,7.60849239113658,NA,716729,1069906,8624677,9694583,9341406,-353177,-3.64303446574236,42.3176591352107,40.7760122278196,-1.5416469073911,NA,NA,NA,NA,NA,22910990.1964111,30486.9554330512,FALSE,11.046255248118
21,53033001500,"Census Tract 15, King County, Washington",2873,207733100,72305,"5Y20","Seattle",10.1,10,"North Beach/Blue Ridge","Crown Hill, North Beach, Blue Ridge",15,23,26,1500,1500,15,"Census Tract 15",283.17318415,0,13808.8375719678,26,102,NA,NA,NA,NA,NA,283.17318415,0.07861133,0,0.01115702,0.076,0.06384677,0.046,0.07182761,0.031,0.3099324,0.354,0.118,0.065,0.217,0.082,0.084,0.12243902,0.8424,0.263,0.526,0.428,0.097,0.135,0.721,0.331,0.143,"Lowest",0,"Lowest",0.128,"Lowest",0.361,"Second lowest",1,NA,NA,12335015,5077121,3613957,31353,0,1943094,924201,745289,8722431,3612584,41.16023369246,29.298359183187,0.254178855883029,0,15.7526683186036,7.49250000912038,6.04205994074592,70.7127717315301,29.2872282684699,5077121,3613957,12335015,776642,4390599,41.16023369246,29.298359183187,35.594597979816,6.29623879662895,NA,462565,448940,4614556,5063496,5077121,13625,0.269082862907367,41.0497757805726,41.16023369246,0.110457911887416,NA,NA,NA,NA,NA,12335023.5007629,13808.8372377946,FALSE,11.8730054239901
22,53033001600,"Census Tract 16, King County, Washington",4903,382663100,78047,"5Y20","Seattle",10.1,10,"North Beach/Blue Ridge","Crown Hill, North Beach, Blue Ridge",16,22,24,1600,1600,16,"Census Tract 16",476.74837007,0,23530.6245099134,24,77,NA,NA,NA,NA,NA,476.74837007,0.1775,0.196,0.02503646,0.324,0.08272727,0.158,0.1318306,0.256,0.36117936,0.489,0.128,0.069,0.219,0.085,0.085,0.10973502,0.8384,0.458,0.609,0.496,0.195,0.24,0.586,0.391,0.339,"Second lowest",0.196,"Second lowest",0.384,"Second lowest",0.429,"Middle",2,NA,NA,20767110,5775721,6998182,151338,0,3958286,1787006,2096577,12925241,7841869,27.8118669376721,33.6983913505538,0.72873885677882,0,19.0603603486475,8.60498162719801,10.0956608791498,62.2389971450048,37.7610028549952,5775721,6998182,20767110,2247915,9246097,27.8118669376721,33.6983913505538,44.5227910864824,10.8243997359286,NA,687070,622877,5088651,5711528,5775721,64193,1.12391990374555,27.5027579668042,27.8118669376721,0.309108970867875,NA,NA,NA,NA,NA,20767156.3797607,23530.6226022954,FALSE,-9.9491359173231
23,53033001701,"Census Tract 17.01, King County, Washington",4442,204649200,46071,"5Y20","Seattle",9.3,9,"Greenwood/Phinney Ridge","Greenwood, Phinney Ridge, Woodland Park, Crown Hill",17.01,20,22,1701,1701,17.01,"Census Tract 17.01",220.59345569,0,17164.4546404212,22,88,NA,NA,NA,NA,NA,220.59345569,0.30867603,0.579,0.03136079,0.369,0.10732197,0.301,0.2116349,0.527,0.33682831,0.444,0.131,0.051,0.221,0.099,0.089,0.0957923,0.8027,0.496,0.285,0.533,0.571,0.593,0.458,0.775,0.527,"Middle",0.444,"Middle",0.512,"Middle",0.579,"Middle",3,NA,NA,9609021,2186365,2776930,9768,0,2179870,1242281,1213807,4973063,4635958,22.7532544678589,28.8991979515915,0.101654476559058,0,22.6856617339061,12.9282785415913,12.6319528284931,51.7541068960095,48.2458931039905,2186365,2776930,9609021,1223575,4000505,22.7532544678589,28.8991979515915,41.6328052566437,12.7336073050522,NA,316985,293712,1869380,2163092,2186365,23273,1.07591355337637,22.5110549763602,22.7532544678589,0.242199491498663,NA,NA,NA,NA,NA,9609049.77493286,17164.4539708001,FALSE,-25.4926386361316
